Source,Target,Type,Id,Label,timeset,Weight
22,34,Undirected,2016,,"<[2020.0, 2025.0]>",1
22,35,Undirected,2017,,"<[2020.0, 2025.0]>",1
22,39,Undirected,2018,,"<[2020.0, 2025.0]>",1
22,41,Undirected,2019,,"<[2020.0, 2025.0]>",1
22,46,Undirected,2020,,"<[2020.0, 2025.0]>",1
22,42,Undirected,2021,,"<[2020.0, 2025.0]>",1
23,42,Undirected,2022,,"<[2020.0, 2025.0]>",1
23,45,Undirected,2023,,"<[2020.0, 2025.0]>",1
24,27,Undirected,2024,,"<[2020.0, 2025.0]>",1
24,42,Undirected,2025,,"<[2020.0, 2025.0]>",1
25,29,Undirected,2028,,"<[2020.0, 2025.0]>",1
25,30,Undirected,2029,,"<[2020.0, 2025.0]>",1
25,32,Undirected,2030,,"<[2020.0, 2025.0]>",1
25,35,Undirected,2032,,"<[2020.0, 2025.0]>",1
25,36,Undirected,2033,,"<[2020.0, 2025.0]>",1
25,46,Undirected,2035,,"<[2020.0, 2025.0]>",1
25,45,Undirected,2037,,"<[2020.0, 2025.0]>",1
26,29,Undirected,2038,,"<[2020.0, 2025.0]>",1
26,33,Undirected,2039,,"<[2020.0, 2025.0]>",1
26,34,Undirected,2040,,"<[2020.0, 2025.0]>",1
26,35,Undirected,2041,,"<[2020.0, 2025.0]>",1
26,39,Undirected,2042,,"<[2020.0, 2025.0]>",1
26,41,Undirected,2043,,"<[2020.0, 2025.0]>",1
26,46,Undirected,2044,,"<[2020.0, 2025.0]>",1
26,42,Undirected,2045,,"<[2020.0, 2025.0]>",1
27,29,Undirected,2047,,"<[2020.0, 2025.0]>",1
27,32,Undirected,2048,,"<[2020.0, 2025.0]>",1
27,38,Undirected,2049,,"<[2020.0, 2025.0]>",1
27,41,Undirected,2050,,"<[2020.0, 2025.0]>",1
28,29,Undirected,2052,,"<[2020.0, 2025.0]>",1
28,30,Undirected,2053,,"<[2020.0, 2025.0]>",1
28,32,Undirected,2054,,"<[2020.0, 2025.0]>",1
29,32,Undirected,2061,,"<[2020.0, 2025.0]>",1
29,33,Undirected,2062,,"<[2020.0, 2025.0]>",1
29,34,Undirected,2063,,"<[2020.0, 2025.0]>",1
29,35,Undirected,2064,,"<[2020.0, 2025.0]>",1
29,39,Undirected,2065,,"<[2020.0, 2025.0]>",1
29,41,Undirected,2066,,"<[2020.0, 2025.0]>",1
30,42,Undirected,2069,,"<[2020.0, 2025.0]>",1
32,42,Undirected,2070,,"<[2020.0, 2025.0]>",1
33,34,Undirected,2071,,"<[2020.0, 2025.0]>",1
33,35,Undirected,2072,,"<[2020.0, 2025.0]>",1
33,39,Undirected,2073,,"<[2020.0, 2025.0]>",1
33,41,Undirected,2074,,"<[2020.0, 2025.0]>",1
33,46,Undirected,2075,,"<[2020.0, 2025.0]>",1
34,35,Undirected,2078,,"<[2020.0, 2025.0]>",1
34,39,Undirected,2079,,"<[2020.0, 2025.0]>",1
34,41,Undirected,2080,,"<[2020.0, 2025.0]>",1
34,46,Undirected,2081,,"<[2020.0, 2025.0]>",1
34,42,Undirected,2082,,"<[2020.0, 2025.0]>",1
35,39,Undirected,2083,,"<[2020.0, 2025.0]>",1
35,41,Undirected,2084,,"<[2020.0, 2025.0]>",1
35,46,Undirected,2085,,"<[2020.0, 2025.0]>",1
35,42,Undirected,2086,,"<[2020.0, 2025.0]>",1
38,42,Undirected,2088,,"<[2020.0, 2025.0]>",1
39,41,Undirected,2089,,"<[2020.0, 2025.0]>",1
39,46,Undirected,2090,,"<[2020.0, 2025.0]>",1
39,42,Undirected,2091,,"<[2020.0, 2025.0]>",1
42,45,Undirected,2095,,"<[2020.0, 2025.0]>",1
